Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
7,2m Call,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
17,70cmCall,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
37,GMRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
38,GMRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
39,GMRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
40,GMRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
41,GMRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
42,GMRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
43,GMRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
44,GMRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
45,GMRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
46,GMRS10,467.612500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
47,GMRS11,467.637500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
48,GMRS12,467.662500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
49,GMRS13,467.687500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
50,GMRS14,467.712500,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
51,GMRS15,462.550000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
52,GMRS16,462.575000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
53,GMRS17,462.600000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
54,GMRS18,462.625000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
55,GMRS19,462.650000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
56,GMRS20,462.675000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
57,GMRS21,462.700000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
58,GMRS22,462.725000,,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,25W,,,,,
60,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
61,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
62,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
63,Blue Dot,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
64,GreenDot,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
66,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
67,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
68,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
69,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
70,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
71,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
72,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
73,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
74,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
75,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
